id,bill_id,related_bill_id,identifier,legislative_session,relation_type
94fec5f0-e34d-4053-b679-0d8b16517706,ocd-bill/2e1e1de7-8b0d-4263-bdcd-326a5dc5dd09,ocd-bill/9a678cb5-2af6-46ab-8fa8-0d98464c6dc8,SJRES 2,119,companion
ccdb8f68-b8aa-44f4-b610-4ff078de72a0,ocd-bill/2e1e1de7-8b0d-4263-bdcd-326a5dc5dd09,ocd-bill/d04b9bf6-1cd6-4b70-bc89-c8ef56e0bc61,SJRES 1,119,companion
9daef971-55f0-4cae-a3f7-2942b81124ff,ocd-bill/5c63c8b5-9ebc-452d-ab56-76db04f986b4,ocd-bill/713e24b9-559d-47f1-be85-831c210ed692,SCONRES 4,119,companion
f90d867e-8ce9-4fdc-85b2-fd7e428da813,ocd-bill/713e24b9-559d-47f1-be85-831c210ed692,ocd-bill/5c63c8b5-9ebc-452d-ab56-76db04f986b4,HCONRES 3,119,companion
91d52861-5847-441c-9854-ce39d6fa65a1,ocd-bill/9c3635ab-fb27-4e32-93bf-5ae2ca5ab3b7,ocd-bill/040db31c-93b7-4e90-856f-48ade69a4141,S 46,119,companion
3679990a-8e14-47c1-b41a-e24925d66bc1,ocd-bill/f8bd9234-5370-428d-83a6-dd0efab6ebec,ocd-bill/f0979a67-6f9b-4a87-8aaa-d99ad8e5c186,S 72,119,companion
81b4dc40-e8e6-41d8-aad0-f1796f686434,ocd-bill/f0979a67-6f9b-4a87-8aaa-d99ad8e5c186,ocd-bill/f8bd9234-5370-428d-83a6-dd0efab6ebec,HR 355,119,companion
80b5d460-28d7-4050-a55a-3b49cac5f820,ocd-bill/12006252-3205-4882-80bd-ca50f38959ac,ocd-bill/a36c954c-e7b8-410d-8342-461eef4eb067,S 103,119,companion
ef2c1c0f-d9e3-4d61-a61f-2e8f518abb04,ocd-bill/0eb79fec-9d1d-4e67-bfaa-2004d39b83d4,ocd-bill/d0cdf14c-539b-4819-a159-54caffc30d34,SRES 67,119,companion
2df21416-b84f-4942-bde6-e5dba7aad521,ocd-bill/d0cdf14c-539b-4819-a159-54caffc30d34,ocd-bill/0eb79fec-9d1d-4e67-bfaa-2004d39b83d4,HRES 119,119,companion
d9fe0394-1a47-4819-9a59-7c0a5b8dc939,ocd-bill/a36c954c-e7b8-410d-8342-461eef4eb067,ocd-bill/12006252-3205-4882-80bd-ca50f38959ac,HR 391,119,companion
fea16729-9c3a-4980-982a-427f509cf12b,ocd-bill/6e6c2729-384e-4eb9-96a2-d6d06bcbbc57,ocd-bill/64132b9b-fdb2-4e7d-b1f5-41cd1d38cdc0,S 5,119,companion
ad0670a9-e67f-4523-872e-bb9142a8b6b1,ocd-bill/6e6c2729-384e-4eb9-96a2-d6d06bcbbc57,ocd-bill/6749a055-f58d-45cd-8f51-6f96e76db8da,HR 471,119,companion
87b74ef1-54ce-4a41-92bb-4319ed9225f7,ocd-bill/d51123ad-7bed-4ec4-9d48-d5acebafdd61,ocd-bill/9dd8c5ed-ec7f-4faa-b6c3-58feb048df38,S 387,119,companion
79f08fbd-7cea-49a2-a8ff-857eb489bf48,ocd-bill/2611f459-1d69-41ca-ac5f-0c91864ec038,ocd-bill/4c8cef08-440d-414a-8f04-f72635128114,S 367,119,companion
b675ea06-1847-4858-9784-64779d96c9c4,ocd-bill/e55d0f74-b43c-4c8c-8536-02d95ad34a47,ocd-bill/276f4871-d4c4-4313-a2dc-baa3c7160ee5,S 262,119,companion
00cc4145-27a5-4940-b537-b06ae2cd3130,ocd-bill/15cbfbb5-a4a1-49aa-b507-7b9b33e3b7fb,ocd-bill/bc61c8f0-0d6f-42dd-a87e-28c001e82a92,HR 1030,119,companion
3b0b1487-c224-4ba4-83b7-28e2dab3b874,ocd-bill/3b8e238d-1d27-421a-8838-3045037b0fb4,ocd-bill/171d4ea8-1b3c-44db-b3a1-8281c781ea8e,HR 1551,119,companion
60e8b5a9-ca1a-4dbb-88f8-84beaa444a7b,ocd-bill/171d4ea8-1b3c-44db-b3a1-8281c781ea8e,ocd-bill/3b8e238d-1d27-421a-8838-3045037b0fb4,S 167,119,companion
c84934a0-bb29-49ef-abee-f8668a0fc722,ocd-bill/bc61c8f0-0d6f-42dd-a87e-28c001e82a92,ocd-bill/15cbfbb5-a4a1-49aa-b507-7b9b33e3b7fb,S 411,119,companion
1ef7155a-040b-4c96-93ae-7db676b93907,ocd-bill/fcee29d7-84fe-4458-8f6e-5e0a4185380e,ocd-bill/8d9a3d0c-5491-4914-be30-200a331b8172,HR 1288,119,companion
af4d3448-a740-4510-b71d-e23c6fc6a2b6,ocd-bill/19cdf90a-49f2-40c4-a453-31bfcb7fa190,ocd-bill/0881288d-5a5f-4457-8579-5f3785cba0fc,HR 2711,119,companion
6e14c84e-88d2-4b83-977e-76b0c55ce879,ocd-bill/0881288d-5a5f-4457-8579-5f3785cba0fc,ocd-bill/19cdf90a-49f2-40c4-a453-31bfcb7fa190,S 768,119,companion
e1b012a4-a55c-40d1-9e4c-a6374188afbe,ocd-bill/8d9a3d0c-5491-4914-be30-200a331b8172,ocd-bill/fcee29d7-84fe-4458-8f6e-5e0a4185380e,S 599,119,companion
b26ce946-b198-4803-a92a-9490efed7d3b,ocd-bill/040db31c-93b7-4e90-856f-48ade69a4141,ocd-bill/9c3635ab-fb27-4e32-93bf-5ae2ca5ab3b7,HR 247,119,companion
8933a95f-e15a-4e79-a204-378b041c4975,ocd-bill/efc23d4a-51d5-4030-b7a7-6d3e73c917f6,ocd-bill/2ecb418d-d344-429e-9acb-85ba17f5541a,HRES 33,119,companion
493b82da-0151-46ba-b001-cbde739aa711,ocd-bill/2ecb418d-d344-429e-9acb-85ba17f5541a,ocd-bill/efc23d4a-51d5-4030-b7a7-6d3e73c917f6,SRES 20,119,companion
106b39bc-a914-4053-a9a4-00ca7666f50a,ocd-bill/2c089ed7-8815-4d47-b432-e93c7c9eb1df,ocd-bill/6de754e5-12e5-40a7-a10c-d898bedec322,HR 35,119,companion
9f1becf5-2c93-4db4-a39b-9b351b95a187,ocd-bill/198f036b-58b8-44cd-8f30-9aadba94c790,ocd-bill/d5dc20c3-f10f-4d0b-9faf-95204b703224,HJRES 44,119,companion
35ce427f-de0f-4cc2-a3ff-84ca8fa738fa,ocd-bill/2c089ed7-8815-4d47-b432-e93c7c9eb1df,ocd-bill/33a0c22a-2f03-4199-a443-5bfde5dda681,HR 26,119,companion
7673adb1-cdff-4f21-bc61-b546c145b327,ocd-bill/2c089ed7-8815-4d47-b432-e93c7c9eb1df,ocd-bill/9de187a3-32a0-4cd4-a6d6-b7653b4b1ecf,HR 21,119,companion
4bad290e-d94a-4733-841f-c3f31751fb5b,ocd-bill/2c089ed7-8815-4d47-b432-e93c7c9eb1df,ocd-bill/522cc25e-dffc-40e0-a687-08221d5a29f1,HR 28,119,companion
23b85542-afa8-4d0b-a9a4-6deae6939227,ocd-bill/2c089ed7-8815-4d47-b432-e93c7c9eb1df,ocd-bill/49ee3d7a-e569-4c82-abb1-7b2497fec59d,HR 30,119,companion
4fb41d49-d90a-4d0b-a6e3-b37356aa9394,ocd-bill/2c089ed7-8815-4d47-b432-e93c7c9eb1df,ocd-bill/97eae76d-4cf6-4ec0-8d73-4c5152aac664,HR 33,119,companion
ebd1aba8-637f-4bfa-a3dc-dc2f3dc8221c,ocd-bill/2c089ed7-8815-4d47-b432-e93c7c9eb1df,ocd-bill/4f5998f7-48fa-4d3e-8419-cd024bbe9a35,HR 23,119,companion
